[0118.94] Log: Log file open, 06/04/16 17:20:49
[1191.84] Log: [TRICKNAME] 1118.960083 : Show trick name
[1192.85] Log: [TRICKNAME] 1119.966187 : Show trick name
[1193.85] Log: [TRICKNAME] 1120.970947 : Show trick name
[1195.86] Log: [TRICKNAME] 1122.980957 : Hide trick name
[1207.54] Log: [TRICKNAME] 1134.652222 : Show trick name
[1208.53] Log: [TRICKNAME] 1135.647583 : Show trick name
[1210.54] Log: [TRICKNAME] 1137.653076 : Hide trick name
[1214.24] Log: [TRICKNAME] 1141.356445 : Show trick name
[1216.23] Log: [TRICKNAME] 1143.348145 : Hide trick name
[1225.40] Log: [TRICKNAME] 1152.510986 : Show trick name
[1227.39] Log: [TRICKNAME] 1154.502319 : Hide trick name
[1271.21] Log: [TRICKNAME] 1198.311035 : Show trick name
[1273.20] Log: [TRICKNAME] 1200.302856 : Hide trick name
[1293.28] Log: [TRICKNAME] 1220.374878 : Show trick name
[1298.11] Log: [TRICKNAME] 1225.202148 : Show trick name
[1300.14] Log: [TRICKNAME] 1227.235474 : Hide trick name
[1345.12] Log: [TRICKNAME] 1272.202881 : Show trick name
[1347.16] Log: [TRICKNAME] 1274.237427 : Hide trick name
[1366.83] Log: [TRICKNAME] 1293.910522 : Show trick name
[1367.83] Log: [TRICKNAME] 1294.909790 : Show trick name
[1368.83] Log: [TRICKNAME] 1295.911499 : Show trick name
[1369.84] Log: [TRICKNAME] 1296.916260 : Show trick name
[1371.27] Log: [TRICKNAME] 1298.341919 : Show trick name
[1382.94] Log: [TRICKNAME] 1310.011230 : Show trick name
[1383.93] Log: [TRICKNAME] 1311.003540 : Show trick name
[1384.93] Log: [TRICKNAME] 1312.010620 : Show trick name
[1385.93] Log: [TRICKNAME] 1313.010498 : Show trick name
[1386.93] Log: [TRICKNAME] 1314.010254 : Show trick name
[1387.93] Log: [TRICKNAME] 1315.010132 : Show trick name
[1388.93] Log: [TRICKNAME] 1316.009888 : Show trick name
[1391.04] Log: [TRICKNAME] 1318.117065 : Show trick name
[1392.04] Log: [TRICKNAME] 1319.116943 : Show trick name
[1393.05] Log: [TRICKNAME] 1320.123047 : Show trick name
[1394.05] Log: [TRICKNAME] 1321.126343 : Show trick name
[1396.05] Log: [TRICKNAME] 1323.125977 : Hide trick name
[1406.13] Log: [TRICKNAME] 1333.196777 : Show trick name
[1408.12] Log: [TRICKNAME] 1335.190430 : Hide trick name
[1410.56] Log: [TRICKNAME] 1337.628296 : Show trick name
[1412.56] Log: [TRICKNAME] 1339.626953 : Hide trick name
[1415.86] Log: [TRICKNAME] 1342.928711 : Show trick name
[1418.54] Log: [TRICKNAME] 1345.605957 : Show trick name
[1419.55] Log: [TRICKNAME] 1346.614624 : Show trick name
[1420.55] Log: [TRICKNAME] 1347.615234 : Show trick name
[1421.55] Log: [TRICKNAME] 1348.615112 : Show trick name
[1423.55] Log: [TRICKNAME] 1350.616211 : Hide trick name
[1433.87] Log: [TRICKNAME] 1360.937500 : Show trick name
[1434.87] Log: [TRICKNAME] 1361.932617 : Show trick name
[1436.87] Log: [TRICKNAME] 1363.935913 : Hide trick name
[1439.27] Log: [TRICKNAME] 1366.340332 : Show trick name
[1440.37] Log: [TRICKNAME] 1367.433472 : Show trick name
[1441.91] Log: [TRICKNAME] 1368.974976 : Show trick name
[1443.48] Log: [TRICKNAME] 1370.545776 : Show trick name
[1444.48] Log: [TRICKNAME] 1371.551025 : Show trick name
[1446.49] Log: [TRICKNAME] 1373.557495 : Hide trick name
[1468.57] Log: [TRICKNAME] 1395.636719 : Show trick name
[1470.56] Log: [TRICKNAME] 1397.629517 : Hide trick name
[1474.65] Log: [TRICKNAME] 1401.715332 : Show trick name
[1476.30] Log: [TRICKNAME] 1403.363159 : Show trick name
[1478.98] Log: [TRICKNAME] 1406.045044 : Show trick name
[1479.99] Log: [TRICKNAME] 1407.050415 : Show trick name
[1480.99] Log: [TRICKNAME] 1408.057251 : Show trick name
[1482.00] Log: [TRICKNAME] 1409.059448 : Show trick name
[1484.00] Log: [TRICKNAME] 1411.060181 : Hide trick name
[1496.89] Log: [TRICKNAME] 1423.948364 : Show trick name
[1498.88] Log: [TRICKNAME] 1425.945190 : Hide trick name
[1503.97] Log: [TRICKNAME] 1431.026978 : Show trick name
[1505.96] Log: [TRICKNAME] 1433.021606 : Hide trick name
[1517.89] Log: [TRICKNAME] 1444.950684 : Show trick name
[1520.26] Log: [TRICKNAME] 1447.323608 : Show trick name
[1521.27] Log: [TRICKNAME] 1448.330078 : Show trick name
[1522.27] Log: [TRICKNAME] 1449.333618 : Show trick name
[1523.28] Log: [TRICKNAME] 1450.343628 : Show trick name
[1524.29] Log: [TRICKNAME] 1451.348999 : Show trick name
[1526.30] Log: [TRICKNAME] 1453.357056 : Hide trick name
[1559.78] Log: [TRICKNAME] 1486.825317 : Show trick name
[1561.77] Log: [TRICKNAME] 1488.819458 : Hide trick name
[1568.56] Log: [TRICKNAME] 1495.610107 : Show trick name
[1570.30] Log: [TRICKNAME] 1497.350586 : Show trick name
[1571.30] Log: [TRICKNAME] 1498.350830 : Show trick name
[1573.30] Log: [TRICKNAME] 1500.352661 : Hide trick name
[1576.49] Log: [TRICKNAME] 1503.538208 : Show trick name
[1578.48] Log: [TRICKNAME] 1505.531738 : Hide trick name
[1585.06] Log: [TRICKNAME] 1512.103027 : Show trick name
[1587.06] Log: [TRICKNAME] 1514.099731 : Hide trick name
[1614.83] Log: [TRICKNAME] 1541.873047 : Show trick name
[1615.83] Log: [TRICKNAME] 1542.866699 : Show trick name
[1617.83] Log: [TRICKNAME] 1544.872681 : Hide trick name
[1617.87] Log: [TRICKNAME] 1544.912598 : Show trick name
[1618.86] Log: [TRICKNAME] 1545.903809 : Show trick name
[1619.87] Log: [TRICKNAME] 1546.910522 : Show trick name
[1620.87] Log: [TRICKNAME] 1547.913086 : Show trick name
[1622.88] Log: [TRICKNAME] 1549.919800 : Hide trick name
[1625.06] Log: [TRICKNAME] 1552.103271 : Show trick name
[1627.74] Log: [TRICKNAME] 1554.779541 : Show trick name
[1628.75] Log: [TRICKNAME] 1555.785034 : Show trick name
[1629.75] Log: [TRICKNAME] 1556.792358 : Show trick name
[1630.76] Log: [TRICKNAME] 1557.793091 : Show trick name
[1632.76] Log: [TRICKNAME] 1559.796997 : Hide trick name
[1651.78] Log: [TRICKNAME] 1578.808105 : Show trick name
[1653.78] Log: [TRICKNAME] 1580.807251 : Hide trick name
[1654.80] Log: [TRICKNAME] 1581.833374 : Show trick name
[1656.12] Log: [TRICKNAME] 1583.149658 : Show trick name
[1657.13] Log: [TRICKNAME] 1584.157349 : Show trick name
[1658.13] Log: [TRICKNAME] 1585.164307 : Show trick name
[1660.14] Log: [TRICKNAME] 1587.170410 : Hide trick name
[1668.32] Log: [TRICKNAME] 1595.351929 : Show trick name
[1669.32] Log: [TRICKNAME] 1596.345825 : Show trick name
[1671.32] Log: [TRICKNAME] 1598.349243 : Hide trick name
[1676.72] Log: [TRICKNAME] 1603.743286 : Show trick name
[1678.71] Log: [TRICKNAME] 1605.739868 : Hide trick name
[1682.53] Log: [TRICKNAME] 1609.557007 : Show trick name
[1684.52] Log: [TRICKNAME] 1611.548950 : Hide trick name
[1739.09] Log: [TRICKNAME] 1666.101807 : Show trick name
[1740.09] Log: [TRICKNAME] 1667.099854 : Show trick name
[1742.10] Log: [TRICKNAME] 1669.105225 : Hide trick name
[1795.32] Log: [TRICKNAME] 1722.322388 : Show trick name
[1797.31] Log: [TRICKNAME] 1724.315063 : Hide trick name
[1810.23] Log: [TRICKNAME] 1737.232300 : Show trick name
[1812.91] Log: [TRICKNAME] 1739.910278 : Show trick name
[1813.92] Log: [TRICKNAME] 1740.917114 : Show trick name
[1814.92] Log: [TRICKNAME] 1741.919434 : Show trick name
[1816.92] Log: [TRICKNAME] 1743.925659 : Hide trick name
[1895.03] Log: [TRICKNAME] 1822.007202 : Show trick name
[1897.02] Log: [TRICKNAME] 1823.999390 : Hide trick name
[1903.52] Log: [TRICKNAME] 1830.500000 : Show trick name
[1906.39] Log: [TRICKNAME] 1833.373779 : Hide trick name
[1910.93] Log: [TRICKNAME] 1837.906006 : Show trick name
[1912.92] Log: [TRICKNAME] 1839.900269 : Hide trick name
[1915.70] Log: [TRICKNAME] 1842.681274 : Show trick name
[1916.70] Log: [TRICKNAME] 1843.678955 : Show trick name
[1917.82] Log: [TRICKNAME] 1844.798218 : Show trick name
[1920.54] Log: [TRICKNAME] 1847.515869 : Hide trick name
[1963.13] Log: [TRICKNAME] 1890.097900 : Show trick name
[1965.12] Log: [TRICKNAME] 1892.091064 : Hide trick name
[1968.41] Log: [TRICKNAME] 1895.382935 : Show trick name
[1970.41] Log: [TRICKNAME] 1897.376221 : Hide trick name
[1970.67] Log: [TRICKNAME] 1897.635620 : Show trick name
[1973.48] Log: [TRICKNAME] 1900.454346 : Show trick name
[1974.50] Log: [TRICKNAME] 1901.470337 : Show trick name
[1975.50] Log: [TRICKNAME] 1902.470825 : Show trick name
[1977.51] Log: [TRICKNAME] 1904.473999 : Hide trick name
[1997.31] Log: [TRICKNAME] 1924.270874 : Show trick name
[1999.34] Log: [TRICKNAME] 1926.301147 : Hide trick name
[2122.15] Log: [TRICKNAME] 2049.102051 : Show trick name
[2123.14] Log: [TRICKNAME] 2050.104492 : Show trick name
[2124.71] Log: [TRICKNAME] 2051.694336 : Show trick name
[2125.71] Log: [TRICKNAME] 2052.709961 : Show trick name
[2127.72] Log: [TRICKNAME] 2054.743896 : Hide trick name
[2129.73] Log: [TRICKNAME] 2056.764893 : Show trick name
[2132.40] Log: [TRICKNAME] 2059.437256 : Show trick name
[2133.41] Log: [TRICKNAME] 2060.439941 : Show trick name
[2134.41] Log: [TRICKNAME] 2061.444092 : Show trick name
[2135.42] Log: [TRICKNAME] 2062.456055 : Show trick name
[2136.42] Log: [TRICKNAME] 2063.471680 : Show trick name
[2137.42] Log: [TRICKNAME] 2064.487305 : Show trick name
[2138.42] Log: [TRICKNAME] 2065.502930 : Show trick name
[2139.42] Log: [TRICKNAME] 2066.518555 : Show trick name
[2140.42] Log: [TRICKNAME] 2067.536621 : Show trick name
[2142.43] Log: [TRICKNAME] 2069.563477 : Hide trick name
[2152.13] Log: [TRICKNAME] 2079.328613 : Show trick name
[2153.12] Log: [TRICKNAME] 2080.332031 : Show trick name
[2155.13] Log: [TRICKNAME] 2082.356934 : Hide trick name
