[0146.12] Log: Log file open, 06/06/16 00:22:43
[2515.07] Log: [TRICKNAME] 2163.581055 : Hide trick name
[2539.21] Log: [TRICKNAME] 2187.917480 : Show trick name
[2540.20] Log: [TRICKNAME] 2188.916748 : Show trick name
[2542.21] Log: [TRICKNAME] 2190.932129 : Hide trick name
[2564.76] Log: [TRICKNAME] 2213.575928 : Show trick name
[2565.75] Log: [TRICKNAME] 2214.569824 : Show trick name
[2567.76] Log: [TRICKNAME] 2216.597900 : Hide trick name
[2570.87] Log: [TRICKNAME] 2219.754150 : Show trick name
[2571.86] Log: [TRICKNAME] 2220.761963 : Show trick name
[2573.86] Log: [TRICKNAME] 2222.782471 : Hide trick name
[2577.62] Log: [TRICKNAME] 2226.582031 : Show trick name
[2578.62] Log: [TRICKNAME] 2227.589600 : Show trick name
[2579.80] Log: [TRICKNAME] 2228.768311 : Show trick name
[2580.80] Log: [TRICKNAME] 2229.778809 : Show trick name
[2582.80] Log: [TRICKNAME] 2231.810059 : Hide trick name
[2587.97] Log: [TRICKNAME] 2237.060059 : Show trick name
[2588.96] Log: [TRICKNAME] 2238.067871 : Show trick name
[2589.96] Log: [TRICKNAME] 2239.083496 : Show trick name
[2590.96] Log: [TRICKNAME] 2240.099121 : Show trick name
[2591.96] Log: [TRICKNAME] 2241.114746 : Show trick name
[2592.97] Log: [TRICKNAME] 2242.124268 : Show trick name
[2594.97] Log: [TRICKNAME] 2244.131104 : Hide trick name
[2723.46] Log: [TRICKNAME] 2373.292480 : Show trick name
[2724.45] Log: [TRICKNAME] 2374.300293 : Show trick name
[2726.45] Log: [TRICKNAME] 2376.322754 : Hide trick name
[2782.27] Log: [TRICKNAME] 2432.432129 : Show trick name
[2783.27] Log: [TRICKNAME] 2433.436035 : Show trick name
[2785.28] Log: [TRICKNAME] 2435.467773 : Hide trick name
[2787.49] Log: [TRICKNAME] 2437.717773 : Show trick name
[2788.49] Log: [TRICKNAME] 2438.725586 : Show trick name
[2789.49] Log: [TRICKNAME] 2439.741211 : Show trick name
[2790.49] Log: [TRICKNAME] 2440.756836 : Show trick name
[2792.49] Log: [TRICKNAME] 2442.793945 : Hide trick name
[2795.26] Log: [TRICKNAME] 2445.604004 : Show trick name
[2796.26] Log: [TRICKNAME] 2446.611816 : Show trick name
[2797.37] Log: [TRICKNAME] 2447.744629 : Show trick name
[2798.37] Log: [TRICKNAME] 2448.760254 : Show trick name
[2800.37] Log: [TRICKNAME] 2450.791504 : Hide trick name
[2817.32] Log: [TRICKNAME] 2467.876709 : Show trick name
[2818.32] Log: [TRICKNAME] 2468.879883 : Show trick name
[2820.32] Log: [TRICKNAME] 2470.911865 : Hide trick name
[2884.98] Log: [TRICKNAME] 2535.920654 : Show trick name
[2885.98] Log: [TRICKNAME] 2536.929199 : Show trick name
[2887.98] Log: [TRICKNAME] 2538.944580 : Hide trick name
[2894.33] Log: [TRICKNAME] 2545.371826 : Show trick name
[2895.32] Log: [TRICKNAME] 2546.378662 : Show trick name
[2897.33] Log: [TRICKNAME] 2548.404297 : Hide trick name
[2905.51] Log: [TRICKNAME] 2556.710938 : Show trick name
[2906.51] Log: [TRICKNAME] 2557.718994 : Show trick name
[2908.51] Log: [TRICKNAME] 2559.753418 : Hide trick name
[2921.38] Log: [TRICKNAME] 2572.734619 : Show trick name
[2922.37] Log: [TRICKNAME] 2573.742920 : Show trick name
